Ticker,Sector,Latest_Headline,Forecast_Score,Forecast_Direction,Actual_Direction,Actual_Return_Pct,Streak_Days,Streak_Return,Momentum,Date,News_Source,News_Time,Headline_Count,Severity,Impact,Signal_Quality,News_URL,Technical_Score,Tech_Signals,Fundamental_Score,Fund_Concern,Macro_Score,Macro_Context,Composite_Score,Composite_Direction,Composite_Severity,BT_Swing,BT_1M,BT_3M,BT_6M,BT_1M_N,BT_Total_Preds,BT_Forward_Days,BT_Threshold,BT_Category,Est_Horizon,BT_ATR_Pct,BT_SL_Level,TR_total_trades,TR_wins,TR_losses,TR_win_rate,TR_avg_win_pct,TR_avg_loss_pct,TR_profit_factor,TR_total_return_pct,TR_avg_holding_days,TR_long_trades,TR_short_trades,TR_long_win_rate,TR_short_win_rate,TR_stop_loss_exits,TR_signal_flip_exits,Tech_Score,News_Score,Fund_Score,Direction_Label,Horizon,Category,Hit,BT_Accuracy,BT_PF,BT_Trades,BT_Signal_Rate,N_Catalysts,News_Direction,Corrected,BT_Avg_SL,Momentum_Direction
JSL,,,,,,0.38,,,,2026-06-16,,,,,,,,,,,,-1.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
KPIL,,,,,,4.33,,,,2026-06-16,,,,,,,,,,,,5.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
LODHA,,,,,,6.32,,,,2026-06-16,,,,,,,,,,,,4.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
LUPIN,,,,,,-0.4,,,,2026-06-16,,,,,,,,,,,,1.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,91.0,12.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
MRF,,,,,,-1.02,,,,2026-06-16,,,,,,,,,,,,3.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
MANKIND,,,,,,-1.32,,,,2026-06-16,,,,,,,,,,,,1.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
MARICO,,,,,,-0.37,,,,2026-06-16,,,,,,,,,,,,-1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
MAXHEALTH,,,,,,1.11,,,,2026-06-16,,,,,,,,,,,,1.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
MSUMI,,,,,,1.9,,,,2026-06-16,,,,,,,,,,,,3.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
MPHASIS,,,,,,3.15,,,,2026-06-16,,,,,,,,,,,,2.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
