Ticker,Category,BT_Category,Sector,Market_Cap,Close,Tech_Score,Technical_Score,Macro_Score,Fund_Score,Fundamental_Score,News_Score,Forecast_Score,N_Catalysts,News_Sentiment,Composite_Score,Momentum_Direction,Forecast_Direction,Direction_Label,Composite_Severity,Actual_Return_Pct,Regime,BT_6M,BT_Accuracy,BT_Forward_Days,Horizon,BT_PF,BT_Trades,TR_total_trades,TR_win_rate,TR_avg_win_pct,TR_avg_loss_pct,TR_profit_factor,TR_total_return_pct,TR_avg_holding_days,TR_sl_exits,TR_flips
OFSS,LARGE,LARGE,Technology,96967.29,11136.0,0,0,4.2,3,3,0.0,0.0,0,NEUTRAL,0.0,0,0,NEUTRAL,NEUTRAL,-2.55,CHOPPY,80.0,80.0,21,21,0.11,5,5,20.0,1.75,4.12,0.11,-14.7,7.8,1,0
PAGEIND,LARGE,LARGE,Consumer Cyclical,45825.69,41085.0,0,0,1.8,3,3,0.0,0.0,0,NEUTRAL,0.0,0,0,NEUTRAL,NEUTRAL,2.02,CHOPPY,0.0,0.0,21,21,0.0,2,2,0.0,0.0,4.48,0.0,-9.0,7.0,2,0
PATANJALI,LARGE,LARGE,Consumer Defensive,38766.59,356.35,0,0,0.3,9,9,46.7,46.7,1,POSITIVE,0.0,0,0,NEUTRAL,NEUTRAL,-0.22,CHOPPY,61.5,61.5,21,21,0.98,8,8,50.0,6.6,6.73,0.98,-0.5,9.2,1,0
RRKABEL,LARGE,LARGE,Industrials,28979.89,2562.2,0,0,-2.6,3,3,0.0,0.0,0,NEUTRAL,0.0,0,0,NEUTRAL,NEUTRAL,0.13,CHOPPY,66.7,66.7,21,21,0.0,2,2,0.0,0.0,8.78,0.0,-17.6,7.5,1,0
SARDAEN,MID,MID,Basic Materials,18034.87,511.8,0,0,1.1,9,9,0.0,0.0,0,NEUTRAL,1.2,0,0,NEUTRAL,NEUTRAL,-2.25,CHOPPY,70.4,70.4,14,14,0.86,21,21,47.6,5.38,5.67,0.86,-8.6,5.5,9,2
SOLARINDS,MEGA,MEGA,Basic Materials,163361.69,18053.0,0,0,1.1,5,5,0.0,0.0,0,NEUTRAL,0.0,0,0,NEUTRAL,NEUTRAL,-0.15,CHOPPY,75.0,75.0,28,28,1.02,3,3,66.7,3.0,5.88,1.02,0.1,10.7,1,0
TBOTEK,MID,MID,Consumer Cyclical,16001.58,1498.5,0,0,1.8,-1,-1,0.0,0.0,0,NEUTRAL,0.2,0,0,NEUTRAL,NEUTRAL,-1.58,CHOPPY,71.4,71.4,14,14,2.68,20,20,55.0,7.39,3.37,2.68,51.0,6.0,5,0
TCS,MEGA,MEGA,Technology,879882.67,2431.8,0,0,4.2,8,8,83.3,83.3,1,POSITIVE,0.0,0,0,NEUTRAL,NEUTRAL,-0.6,CHOPPY,45.5,45.5,28,28,0.24,6,6,50.0,1.16,4.82,0.24,-11.0,13.5,1,0
TRENT,MEGA,MEGA,Consumer Cyclical,159927.03,2999.2,0,0,1.8,5,5,0.0,0.0,0,NEUTRAL,0.0,0,0,NEUTRAL,NEUTRAL,-0.2,CHOPPY,0.0,0.0,28,28,0.01,2,2,50.0,0.07,6.16,0.01,-6.1,12.5,1,0
UNOMINDA,LARGE,LARGE,Consumer Cyclical,67725.35,1172.8,0,0,1.8,2,2,0.0,0.0,0,NEUTRAL,0.0,0,0,NEUTRAL,NEUTRAL,0.35,CHOPPY,100.0,100.0,21,21,0.0,3,3,100.0,7.44,0.0,0.0,22.3,10.0,0,0
VIJAYA,MID,MID,Healthcare,14009.75,1360.2,0,0,0.1,2,2,0.0,0.0,0,NEUTRAL,0.2,0,0,NEUTRAL,NEUTRAL,-0.86,CHOPPY,71.0,71.0,14,14,2.21,17,17,64.7,5.55,4.6,2.21,33.5,5.6,5,0
ZFCVINDIA,LARGE,LARGE,Consumer Cyclical,27100.51,2381.3,0,0,1.8,6,6,0.0,0.0,0,NEUTRAL,0.0,0,0,NEUTRAL,NEUTRAL,-0.35,CHOPPY,100.0,100.0,21,21,110.76,3,3,66.7,9.04,0.16,110.76,17.9,10.0,0,0
ZYDUSLIFE,MEGA,MEGA,Healthcare,111231.64,1115.1,0,0,0.1,9,9,0.0,0.0,0,NEUTRAL,0.0,0,0,NEUTRAL,NEUTRAL,-0.68,CHOPPY,50.0,50.0,28,28,5.42,4,4,75.0,3.46,1.92,5.42,8.5,12.5,0,0
ECLERX,MID,MID,Technology,17585.11,1910.9,-40,-40,4.2,6,6,0.0,0.0,0,NEUTRAL,-24.7,-1,-1,NEGATIVE,NEUTRAL,-2.1,CHOPPY,55.3,55.3,14,14,1.4,23,23,56.5,5.79,5.38,1.4,21.5,5.0,9,2
